,tweet,sad,angry,scared,happy,surprised,disgusted
0,LAW & ORDER!,0,1,0,0,0,0
1,Wow! 96% Approval Rating in the Republican Party (and I believe this was before the “GREAT” Jobs Numbers yesterday). Thank you!,0,0,0,0,1,0
2,Riot gear or military control is not necessary because ANTIFA & other Wacko groups of Anarchists aren’t present to cause trouble. Incredible people. Thank you Maine! https://twitter.com/lily_marston/status/1269171885998092288 …,0,0,0,1,0,0
3,Great new book by @PastorDScott called “Nothing to Lose”. The Pastor is a winner and a great guy. Much can be learned from him. Buy the book. Make him a Big Deal Author!,0,0,0,0.5,0.5,0
4,“This is a flat out lie. They (the media) are making things up” @CharlesHurt @IngrahamAngle The Lamestream Media is out of control. It would be impossible to fully explain how dishonest they are!,0,0,0,0,0.5,0.5
5,Crazy! https://twitter.com/obamamalik/status/1268612366133911557 …,0,0.5,0,0,0.5,0
6,Biden wants to Defund the Police! https://twitter.com/richardgrenell/status/1268546489858605056 …,0,0.5,0,0,0.5,0
7,We will always defend. Great job Jay! https://twitter.com/jaysekulow/status/1268629847137550337 …,0,0,0,1,0,0
8,You must be kidding??? This is a total disgrace! https://twitter.com/richardgrenell/status/1269048444158480384 …,0,1,0,0,0,0
9,THANK YOU MAINE! #MAGA pic.twitter.com/5De7t64zRj,0,0,0,1,0,0
10,Twitter Pulls Trump Campaign Video of President Showing Empathy For Peaceful Protesters https://davidharrisjr.com/rich/twitter-pulls-trump-campaign-video-of-president-showing-empathy-for-peaceful-protesters/ … They are fighting hard for the Radical Left Democrats. A one sided battle. Illegal. Section 230!,0,1,0,0,0,0
11,"Democrat John Hickenlooper Held in Contempt After Failing to Comply with Subpoena over Ethics Complaint https://davidharrisjr.com/steven/democrat-john-hickenlooper-held-in-contempt-after-failing-to-comply-with-subpoena-over-ethics-complaint/ … Got caught big time with his hand in the cookie jar. Should be the end of his Colorado Senate bid. Makes no difference, we already have a GREAT Senator!",0.5,0.5,0,0,0,0
12,What a fantastic group! https://twitter.com/teamtrump/status/1269056155797635072 …,0,0,0,1,0,0
13,Great! https://twitter.com/realcandaceo/status/1269024665831452680 …,0,0,0,1,0,0
14,".@MayorBowser is grossly incompetent, and in no way qualified to be running an important city like Washington, D.C. If the great men and women of the National Guard didn’t step forward, she would have looked no better than her counterpart Mayor in Minneapolis!",0,0.5,0,0,0,0.5
15,"...We should be standing up straight and tall, ideally with a salute, or a hand on heart. There are other things you can protest, but not our Great American Flag - NO KNEELING!",0,1,0,0,0,0
16,"I am a big fan of Drew Brees. I think he’s truly one of the greatest quarterbacks, but he should not have taken back his original stance on honoring our magnificent American Flag. OLD GLORY is to be revered, cherished, and flown high...",0,1,0,0,0,0
17,"...over the last number of nights. If she doesn’t treat these men and women well, then we’ll bring in a different group of men and women!",0,0.5,0.5,0,0,0
18,"The incompetent Mayor of Washington, D.C., @MayorBowser, who’s budget is totally out of control and is constantly coming back to us for “handouts”, is now fighting with the National Guard, who saved her from great embarrassment...",0.5,0.5,0,0,0,0
19,I just signed the Paycheck Protection Program Flexibility Act to further improve our VERY POPULAR AND SUCCESSFUL program to help small businesses. THANK YOU to our GREAT REPUBLICAN SENATORS! @senatemajldr @marcorubio @SenatorCollins @SteveDaines @SenThomTillis @SenCoryGardner pic.twitter.com/ooH0NclioX,0,0,0,1,0,0
20,"We’ve seen the power that our voices have when we speak out about injustice––but we also know the toll that it takes on our mental health. Today, I talked to @repjohnlewis, Bryan Stevenson, and @MBK_Alliance activists about ways to keep our mental health a priority at this time. https://twitter.com/ObamaFoundation/status/1269058266950242317 …",0,0,0,0,0,0
21,"On National Gun Violence Awareness Day, we #WearOrange to honor the victims and survivors of gun violence––which continues to disproportionately harm Black communities. Then keep speaking up, voting, and changing laws across the country.",0.5,0,0,0,0,0
22,"Third, every city in this country should be a @MBK_Alliance community. We have 250 cities, counties, and tribal nations working to reduce barriers and expand opportunity for boys and young men of color. Join us: http://obama.org/mbka/about-mbk-communities …",0,0,0,0,0,0
23,"Second, every mayor should review their use of force policies with members of their community and commit to report on planned reforms. We need mayors, county executives, and those in positions of power to make this a priority. Take the pledge: http://obama.org/mayor-pledge",0,0,0,0,0,0
